Unnamed: 0,Name,Age,Hometown,ElimWeek,Season,Region
0,Amanda Marsh,23.0,"Chanute, Kansas",11.0,1,4
1,Trista Rehn,29.0,"Miami, Florida",6.0,1,2
2,Shannon Oliver,24.0,"Dallas, Texas",5.0,1,2
3,Kim,24.0,"Tempe, Arizona",4.0,1,4
4,Cathy Grimes,22.0,"Terra Haute, Indiana",3.0,1,4
5,Christina,28.0,"Bonita, California",3.0,1,1
6,LaNease Adams,23.0,"Los Angeles, California",3.0,1,1
7,Rhonda,28.0,"Woodward, Oklahoma",3.0,1,4
8,Alexa,27.0,"Beverly Hills, California",2.0,1,1
9,Amy,28.0,"New York, New York",2.0,1,3
10,Angela,25.0,"Avondale, Arizona",2.0,1,4
11,Angelique,27.0,"Burbank, California",2.0,1,1
12,Katie,23.0,"Malden, Massachusetts",2.0,1,3
13,Melissa,25.0,"Tempe, Arizona",2.0,1,4
14,Tina,27.0,"Plano, Texas",2.0,1,2
15,Amber,29.0,"Los Angeles, California",1.0,1,1
16,Daniela,30.0,"Seattle, Washington",1.0,1,1
17,Denise,30.0,"Honolulu, Hawaii",1.0,1,1
18,Jackie,22.0,"Pittsburgh, Pennsylvania",1.0,1,3
19,Jill,31.0,"Chicago, Illinois",1.0,1,4
20,Kristina,27.0,"Los Angeles, California",1.0,1,1
21,Lisa,29.0,"Dallas, Texas",1.0,1,2
22,Paula,24.0,"Swansea, Massachusetts",1.0,1,3
23,Rachel,29.0,"Eastchester, New York",1.0,1,3
24,Wendi,26.0,"Dallas, Texas",1.0,1,2
25,Helene Eksterowicz,27.0,"Gloucester, New Jersey",11.0,2,3
26,Brooke Smith,22.0,"Albertville, Alabama",7.0,2,2
27,Gwen Gioia,31.0,"Philadelphia, Pennsylvania",6.0,2,3
28,Angela,27.0,"Kansas City, Missouri",5.0,2,4
29,Hayley,28.0,"Lake Oswego, Oregon",4.0,2,1
30,Heather Crawford,30.0,"Dallas, Texas",4.0,2,2
31,Christi,23.0,"Boise, Idaho",3.0,2,4
32,Heather,24.0,"Walnut Creek, California",3.0,2,1
33,Kyla,22.0,"Midvale, Utah",3.0,2,4
34,Shannon,26.0,"Long Island, New York",3.0,2,3
35,Dana,24.0,"Beverly Hills, California",2.0,2,1
36,Erin,25.0,"Westchester, Pennsylvania",2.0,2,3
37,Suzanne,33.0,"Redondo Beach, California",2.0,2,1
38,Frances,30.0,"San Francisco, California",2.0,2,1
39,Anindita,27.0,"New York, New York",2.0,2,3
40,Amber,26.0,"Chapel Hill, North Carolina",1.0,2,2
41,Camille,29.0,"Los Angeles, California",1.0,2,1
42,Cari,29.0,"Granite City, Illinois",1.0,2,4
43,Christy,24.0,"Avondale, Arizona",1.0,2,4
44,Erin,24.0,"Houston, Texas",1.0,2,2
45,Fatima,22.0,"Long Beach, California",1.0,2,1
46,Liangy,30.0,"Coral Gables, Florida",1.0,2,2
47,Lori,26.0,"Dallas, Texas",1.0,2,2
48,Merrilee,28.0,"Forked River, New Jersey",1.0,2,3
49,Suzi,28.0,"Richmond, Virginia",1.0,2,2
50,Jessica Bowlin,22.0,"Huntington Beach, California",11.0,5,1
51,Tara Huckeby,23.0,"Shawnee, Oklahoma",7.0,5,4
52,Mandy Jaye Jeffreys,26.0,"Midland, Texas",6.0,5,2
53,Trish Schneider,28.0,"Atlanta, Georgia",5.0,5,2
54,Suzie Williams,23.0,"Ann Arbor, Michigan",4.0,5,4
55,Karen Lindsay,28.0,"Pleasant Grove, Utah",4.0,5,4
56,Jessica Holcomb,25.0,"Pearsall, Texas",3.0,5,2
57,Julie Durda,24.0,"Sacramento, California",3.0,5,1
58,Jenny De Schiralli,26.0,"Carrboro, North Carolina",3.0,5,2
59,Katie Gehart,22.0,"Scottsdale, Arizona",3.0,5,4
60,Jean-Marie Callahan,26.0,"Gibson, North Carolina",2.0,5,2
61,Debbie Merkett,27.0,"Pinetops, North Carolina",2.0,5,2
62,Anne-Catherine Labbé,27.0,"Quebec City, Quebec",2.0,5,4
63,Amber LaRoux,27.0,"Sunriver, Oregon",2.0,5,1
64,Mandy Clemens,25.0,"San Diego, California",2.0,5,1
65,Kristy Romero,25.0,"Dearborn, Michigan",2.0,5,4
